time,Open,High,Low,Close,Volume,spread,real_volume,Symbol,Date,TimeFrame
1644199200,0.72575,0.72592,0.72504,0.72536,601,6,0,CADCHF,2022-02-07 02:00:00,M15
1644200100,0.72536,0.72536,0.72507,0.72516,463,15,0,CADCHF,2022-02-07 02:15:00,M15
1644201000,0.72516,0.72536,0.72509,0.72512,364,15,0,CADCHF,2022-02-07 02:30:00,M15
1644201900,0.72512,0.72563,0.72496,0.72557,444,7,0,CADCHF,2022-02-07 02:45:00,M15
1644202800,0.72558,0.72594,0.72555,0.72593,590,5,0,CADCHF,2022-02-07 03:00:00,M15
1644203700,0.72593,0.72608,0.72568,0.72586,575,15,0,CADCHF,2022-02-07 03:15:00,M15
1644204600,0.72587,0.72682,0.72586,0.72676,492,15,0,CADCHF,2022-02-07 03:30:00,M15
1644205500,0.72679,0.72682,0.72637,0.72656,378,15,0,CADCHF,2022-02-07 03:45:00,M15
1644206400,0.72654,0.72669,0.72644,0.72659,408,8,0,CADCHF,2022-02-07 04:00:00,M15
1644207300,0.72658,0.72672,0.72647,0.7265,334,15,0,CADCHF,2022-02-07 04:15:00,M15
1644208200,0.72649,0.7265,0.72625,0.72627,456,15,0,CADCHF,2022-02-07 04:30:00,M15
1644209100,0.72626,0.72635,0.72617,0.72623,372,6,0,CADCHF,2022-02-07 04:45:00,M15
1644210000,0.72624,0.72629,0.72604,0.72624,363,6,0,CADCHF,2022-02-07 05:00:00,M15
1644210900,0.72623,0.72632,0.72614,0.72626,261,6,0,CADCHF,2022-02-07 05:15:00,M15
1644211800,0.72627,0.72647,0.72616,0.72639,308,6,0,CADCHF,2022-02-07 05:30:00,M15
1644212700,0.72641,0.72642,0.72603,0.72604,342,6,0,CADCHF,2022-02-07 05:45:00,M15
1644213600,0.72602,0.72653,0.72598,0.7265,252,5,0,CADCHF,2022-02-07 06:00:00,M15
1644214500,0.72649,0.72677,0.72648,0.72671,222,5,0,CADCHF,2022-02-07 06:15:00,M15
1644215400,0.72671,0.72695,0.72662,0.72694,205,5,0,CADCHF,2022-02-07 06:30:00,M15
1644216300,0.72694,0.72703,0.72675,0.72682,220,6,0,CADCHF,2022-02-07 06:45:00,M15
1644217200,0.72682,0.72688,0.72666,0.72687,290,5,0,CADCHF,2022-02-07 07:00:00,M15
1644218100,0.72686,0.72695,0.72665,0.72666,296,15,0,CADCHF,2022-02-07 07:15:00,M15
1644219000,0.72665,0.72691,0.72662,0.72681,200,4,0,CADCHF,2022-02-07 07:30:00,M15
1644219900,0.7268,0.72681,0.72628,0.72681,336,6,0,CADCHF,2022-02-07 07:45:00,M15
1644220800,0.72681,0.72686,0.72646,0.72659,346,15,0,CADCHF,2022-02-07 08:00:00,M15
1644221700,0.7266,0.72666,0.72644,0.72663,343,7,0,CADCHF,2022-02-07 08:15:00,M15
1644222600,0.72664,0.72691,0.72654,0.72691,313,6,0,CADCHF,2022-02-07 08:30:00,M15
1644223500,0.72693,0.72739,0.72684,0.72722,430,15,0,CADCHF,2022-02-07 08:45:00,M15
1644224400,0.72722,0.7275,0.72703,0.72729,1039,15,0,CADCHF,2022-02-07 09:00:00,M15
1644225300,0.72728,0.72732,0.72683,0.72711,831,8,0,CADCHF,2022-02-07 09:15:00,M15
1644226200,0.72711,0.72719,0.72666,0.72666,967,15,0,CADCHF,2022-02-07 09:30:00,M15
1644227100,0.72667,0.72737,0.72634,0.72717,994,15,0,CADCHF,2022-02-07 09:45:00,M15
1644228000,0.72717,0.72718,0.72647,0.72672,1998,15,0,CADCHF,2022-02-07 10:00:00,M15
1644228900,0.72671,0.72673,0.72608,0.72622,1875,15,0,CADCHF,2022-02-07 10:15:00,M15
1644229800,0.72622,0.72707,0.72601,0.72662,1392,15,0,CADCHF,2022-02-07 10:30:00,M15
1644230700,0.72661,0.72726,0.72655,0.72688,1204,15,0,CADCHF,2022-02-07 10:45:00,M15
1644231600,0.72688,0.72709,0.72604,0.72642,1386,15,0,CADCHF,2022-02-07 11:00:00,M15
1644232500,0.72643,0.72678,0.72637,0.72678,897,15,0,CADCHF,2022-02-07 11:15:00,M15
1644233400,0.72679,0.72679,0.72613,0.72615,1037,15,0,CADCHF,2022-02-07 11:30:00,M15
1644234300,0.72614,0.72651,0.72594,0.72627,1060,15,0,CADCHF,2022-02-07 11:45:00,M15
1644235200,0.72627,0.72652,0.72594,0.72597,839,15,0,CADCHF,2022-02-07 12:00:00,M15
1644236100,0.72598,0.72604,0.72549,0.72585,793,15,0,CADCHF,2022-02-07 12:15:00,M15
1644237000,0.72585,0.72599,0.72554,0.72572,965,15,0,CADCHF,2022-02-07 12:30:00,M15
1644237900,0.72572,0.72606,0.72572,0.72589,1152,15,0,CADCHF,2022-02-07 12:45:00,M15
1644238800,0.72589,0.72603,0.72563,0.72591,959,15,0,CADCHF,2022-02-07 13:00:00,M15
1644239700,0.7259,0.72594,0.72541,0.72562,1053,15,0,CADCHF,2022-02-07 13:15:00,M15
1644240600,0.72562,0.7258,0.72546,0.72556,973,15,0,CADCHF,2022-02-07 13:30:00,M15
1644241500,0.72556,0.72585,0.72547,0.72564,786,15,0,CADCHF,2022-02-07 13:45:00,M15
1644242400,0.72563,0.72612,0.72562,0.72598,980,15,0,CADCHF,2022-02-07 14:00:00,M15
1644243300,0.72597,0.72668,0.72586,0.7265,932,15,0,CADCHF,2022-02-07 14:15:00,M15
1644244200,0.7265,0.72657,0.72615,0.72625,914,15,0,CADCHF,2022-02-07 14:30:00,M15
1644245100,0.72625,0.72639,0.72589,0.72601,985,15,0,CADCHF,2022-02-07 14:45:00,M15
1644246000,0.72601,0.72676,0.72589,0.72665,1095,15,0,CADCHF,2022-02-07 15:00:00,M15
1644246900,0.72665,0.72691,0.72648,0.72669,1326,15,0,CADCHF,2022-02-07 15:15:00,M15
1644247800,0.72671,0.72673,0.7263,0.7267,1147,15,0,CADCHF,2022-02-07 15:30:00,M15
